TableID,ListOrder,Field_01,Field_02,Field_03,Field_04,Field_05,Field_06
1,3,Chococat,"Device, Book, Chocolate",Interactive History of Chocolate Book,Ancient Inventions Book,,
1,4,Tuxedosam,"Cloth, Tropical, Fancy",Designer Island Doll,"Tropical Material, Tropical Gift, Beignets with Pineapple Dip",,
1,5,Badz-Maru,"Joke, Tropical, Pizza","Critter or fish (seaside resort), anything with coconut, any pizza, joke soda, tropical food, tropical hologram",Pineapple pizza,,
1,6,Pochacco,"Sports, Veggie, Healthy",Pochacco's Energy Pop,Everything Pizza,,
1,7,Keroppi,"Critters, Swampy, Wood",Critter Totem,"Critters (spooky swamp), Swampy Souvenir Doll",,
1,8,Kuromi,"Spooky, Fall, Soda",Pumpkin spice soda,"Jack-O-Lantern, Spicy Pumpkin Latte",,
1,9,Cinnamoroll,"Cozy Beverage, Chocolate, Spice",Chocolate chai,"spicy pumpkin latte, chai, mocha, hot cocoa, molten frappe",,
1,10,Pekkle,"Music, Rocky, Relax",Mountain Soundtrack,"rocky music box, stacked stones",,
1,11,Pompompurin,"Dairy, Dessert, Relax",Mama's Pudding,"Pudding, Cheese Ice Cream",,
1,12,Restusko,"Fire, Music, Metal",Volcano Guitar,"Volcano soundtrack, sounds of steel soundtrack",,
1,13,Hangyodon,"Fish, Fabric, Aquatic",Mermaid Figure,"Aquatic Material, any fish in rainbow reef",,
1,14,Tophat,"Digital, Fancy, Stars",Future of Everything book,Computer,,
1,15,Big Challenges,"Volcano, Book, Resilience",Greatest Challenge book,Meditations on Resilience book,,
1,16,Wish Me Mell,"Fire, Flower, Rare",Rare candle,Flower candle,,
1,17,My Sweet Piano,"Cloud, Wood, Creative",Colorful Lamb Plush,Any lamb plush. Any cloud tree,,
1,18,Usahana,"Imagination, Mochi, Rainbow",unknown,"Dango, Any mochi",,
1,19,Lala,"Creative, Dreamy, Cheese",Quattro Formaggio pizza,"Cheese cloud, art supplies, 3 cheese pizza",,
1,20,Kiki,"Stars, Dreamy, Frozen",Starry Skies Shake,"Art supplies, dreamy star",,
2,1,Dear Daniel,Anytime,Seaside Resort,Any Furniture x3 - Tag: Music,Mama's Apple Pie,
2,2,Mimmy,Anytime,Seaside Resort,"Hello Kitty Furniture x5, Bread x2 - Tag: Baked Goods",Mama's Apple Pie,
2,3,Mary White,Anytime,Seaside Resort,"Hello Kitty Furniture x3, Oven x1 - Tag: Baked Goods",Red Bow Apple Pie,
